LG 01,LG 07,LG 03,small_ind_load_1,small_ind_load_2,load_bus3,load_bus4,load_bus5,load_bus9,load_bus10,load_bus11,load_bus6,SFH9,eload_med_ind,eload_small_ind,eload_comm
22.23094538,24.05995534,7.70492541,,,,,,,,,,0.102211461,0.520972355,0.853805228,0.694552529
20.9000001,27.0358658,5.55253734,,,,,,,,,,0.04929688,0.198427073,0.794587092,0.642671855
22.53768668,29.51787079,5.17820898,,,,,,,,,,0.074070599,0.179885605,0.867453158,0.224383917
21.38350757,30.75315438,5.27179107,,,,,,,,,,0.083407215,0.168398475,0.816099931,0.084954604
24.39373146,30.72715935,4.6791045,,,,,,,,,,0.112004,0.165538608,0.950034698,0.03307393
24.28975136,29.1154678,4.413955245,,,,,,,,,,0.085085046,0.159771211,0.945408281,0.014915694
22.69885583,29.19449268,3.83686569,,,,,,,,,,0.057962504,0.165252622,0.874624104,0.02464332
22.71445284,28.12765685,3.602910465,,,,,,,,,,0.036980217,0.159246902,0.875318066,0.014915694
17.69741302,26.52948271,3.64970151,,,,,,,,,,0.042688842,0.158484271,0.652093454,0.022049287
13.44982594,23.11061703,3.58731345,,,,,,,,,,0.018836592,0.146377502,0.463104326,0
9.072263725,9.631676663,3.36895524,,,,,,,,,,0.015841061,0.146234509,0.268332177,0.009727626
9.10865676,6.525791076,3.40014927,,,,,,,,,,0.012265818,0.127883699,0.269951423,0.023346304
9.17104482,5.771935351,4.102014945,,,,,,,,,,0.032613955,0.128074357,0.272727273,0.016861219
9.30621895,6.343825901,4.02402987,,,,,,,,,,0.257784078,0.133317445,0.278741615,0.021400778
9.041069695,9.671189101,5.3029851,,,,,,,,,,0.195777836,0.129122974,0.266944252,0.009079118
9.39980104,8.696895564,6.004850775,,,,,,,,,,0.123214018,0.245519542,0.28290539,0.029182879
9.477786115,13.77840305,7.845298545,,,,,,,,,,0.015258867,0.637035272,0.286375202,0.547989624
12.6907712,16.1179553,10.54358214,,,,,,,,,,0.066969262,0.869447092,0.429331483,0.766536965
21.91900508,22.16127871,9.38940303,,,,,,,,,,0.048632436,0.826358437,0.839925977,0.743190661
20.66084587,23.47454738,8.48477616,,,,,,,,,,0.34892189,0.948856053,0.783946334,0.752918288
20.53606975,23.084622,8.812313475,,,,,,,,,,0.338306046,0.883031459,0.778394633,0.65693904
20.62965184,25.09871654,8.54716422,,,,,,,,,,0.089969387,0.590276454,0.782558409,0.568741894
19.93818418,25.82761704,9.124253775,,,,,,,,,,0.447899014,0.757673975,0.751792737,0.696498054
21.84621901,24.46235833,8.60955228,,,,,,,,,,0.018742636,0.845900858,0.836687486,0.783398184
22.46490061,24.68279614,10.1848508,,,,,,,,,,0.154758201,0.653479504,0.864214666,0.76459144
22.39211454,25.59366181,10.24723886,,,,,,,,,,0.051986704,0.218493804,0.860976174,0.554474708
21.2119404,29.02500511,9.48298512,,,,,,,,,,0.040345931,0.190276454,0.808466343,0.138132296
21.60186577,30.31123895,9.85731348,,,,,,,,,,0.132194017,0.179170639,0.825815406,0.09079118
22.45450259,31.35103995,7.564552275,,,,,,,,,,0.111974774,0.176263108,0.863752024,0.051232166
22.76644289,30.23325388,6.098432865,,,,,,,,,,0.069508033,0.182030505,0.877631275,0.047341115
24.29495037,29.45340313,4.77268659,,,,,,,,,,0.12422965,0.174833174,0.945639602,0.053177691
23.13557225,27.32181108,4.351567185,,,,,,,,,,0.148486318,0.183412774,0.894055054,0.093385214
16.28848267,26.78943296,4.195597035,,,,,,,,,,0.03550384,0.180314585,0.589405505,0.156290532
13.47062196,27.72525386,4.02402987,,,,,,,,,,0.029640643,0.176739752,0.464029609,0.136835279
12.74796026,12.1656717,4.413955245,,,,,,,,,,0.008783027,0.171448999,0.431876012,0.132944228
12.50360703,7.007218939,4.27358211,,,,,,,,,,0.010869847,0.169065777,0.421003932,0.154345006
11.91611946,6.135865701,4.24238808,,,,,,,,,,0.023097792,0.155672069,0.394864677,0.14461738
