wt_power_feb,wt_power_feb_norm,wt_power_jun,wt_power_jun_norm,wt_power_oct,wt_power_oct_norm
0.465,0.6367851622874808,0.188,0.26666666666666666,0.279,0.33579335793357934
0.472,0.6476043276661515,0.207,0.2954545454545454,0.283,0.3407134071340713
0.454,0.6197836166924267,0.121,0.16515151515151513,0.279,0.33579335793357934
0.441,0.5996908809891809,0.045,0.049999999999999996,0.255,0.3062730627306273
0.395,0.5285935085007729,0.019,0.010606060606060605,0.247,0.2964329643296433
0.391,0.5224111282843896,0.02,0.012121212121212123,0.251,0.30135301353013527
0.408,0.5486862442040186,0.054,0.06363636363636363,0.256,0.3075030750307503
0.38,0.5054095826893354,0.118,0.16060606060606059,0.288,0.3468634686346863
0.323,0.4173106646058734,0.175,0.24696969696969695,0.266,0.3198031980319803
0.312,0.4003091190108192,0.213,0.3045454545454545,0.241,0.28905289052890526
0.333,0.43276661514683157,0.234,0.33636363636363636,0.223,0.26691266912669126
0.322,0.4157650695517775,0.233,0.33484848484848484,0.205,0.2447724477244772
0.299,0.38021638330757346,0.211,0.3015151515151515,0.171,0.2029520295202952
0.257,0.3153013910355488,0.269,0.3893939393939394,0.139,0.16359163591635917
0.251,0.3060278207109738,0.284,0.41212121212121205,0.124,0.14514145141451412
0.231,0.27511591962905724,0.277,0.40151515151515155,0.081,0.09225092250922509
0.227,0.26893353941267395,0.248,0.35757575757575755,0.033,0.033210332103321034
0.243,0.2936630602782072,0.218,0.31212121212121213,0.025,0.023370233702337023
0.27,0.33539412673879454,0.199,0.2833333333333333,0.023,0.02091020910209102
0.284,0.3570324574961361,0.195,0.2772727272727273,0.013,0.008610086100861006
0.301,0.38330757341576516,0.201,0.2863636363636364,0.006,0.0
0.305,0.38948995363214844,0.198,0.2818181818181818,0.018,0.014760147601476013
0.272,0.33848531684698624,0.184,0.2606060606060606,0.064,0.07134071340713408
0.244,0.295208655332303,0.165,0.2318181818181818,0.107,0.12423124231242312
0.294,0.3724884080370944,0.154,0.21515151515151515,0.155,0.18327183271832717
0.377,0.500772797527048,0.137,0.1893939393939394,0.205,0.2447724477244772
0.413,0.5564142194744978,0.128,0.17575757575757575,0.249,0.2988929889298893
