LG 01,LG 02,LG 03,LG 04,LG 05,LG 06,LG 07,LG 08,LG 09,LG 10,LG 11,LG 12,LG 13,LG 14,LG 15,LG 16,LG 17,LG 18,LG 19,LG 20,LG 21,LG 22,LG 23,LG 24,LG 25,LG 26,LG 27,LG 28,LG 29,eload_med_ind,eload_small_ind,eload_comm
24.32094539,21.45941304,4.164403005,23.61907971,4.475303504,33.78625389,28.99797029,26.61370659,36.82143301,44.80138579,34.12938822,0,18.12373143,0,1.681358217,19.77701502,0,19.1323384,68.65286103,101.900498,73.46194065,19.2363185,28.6985076,118.9532344,141.2881599,32.25462702,110.218906,110.218906,95.92164225,0.292230696,0.946796206,0.267833982
25.51671654,21.70688568,3.89925375,24.38333345,4.390039822,32.69342304,28.99797029,29.28079616,36.53444794,42.79353006,33.74258225,0,15.34746276,0,2.161746279,20.00577124,3.003985089,19.0283583,68.47089585,75.905473,74.91766205,13.2054727,26.2029852,116.0417916,95.6627318,28.51134342,102.6803488,102.6803488,76.4253735,0.286320305,1,0.210116732
23.75945285,21.19946279,3.80567166,25.44912948,1.857084586,31.2959305,27.62023396,28.92726382,37.48274645,46.13285097,33.02200016,0,12.04089558,0,1.846686576,18.00935332,0,19.1323384,71.48631875,45.751244,75.22960235,12.0616916,24.4353235,105.2278612,41.12412955,25.14238818,84.17189095,84.17189095,71.2263685,0.275309819,0.921813555,0.141374838
16.631617,16.09196028,3.7432836,16.25208963,1.772860705,32.37108473,29.58337825,29.31199019,36.52820913,47.01044301,32.77868672,0,12.60238812,0,1.562820903,17.0527364,2.860492551,19.2363185,67.14514958,37.17288575,66.28731375,9.1502488,25.7870648,39.3044778,4.259024896,26.07820908,84.6398014,84.6398014,71.2263685,0.271591992,0.604672681,0.15304799
12.77915429,9.788686614,3.68089554,14.1412936,4.558487584,29.78613945,28.8035275,15.32146773,33.95158225,45.42890569,30.32995537,0,11.94731349,0,4.239268677,17.61422894,0,19.6522389,69.30273665,35.8731345,68.9388063,8.318408,24.3313434,37.39124396,4.462825892,25.72467674,85.3676621,85.3676621,71.746269,0.234175405,0.433263937,0.139429313
8.71353238,5.811447789,3.64970151,13.36144285,1.941308467,26.06469167,11.98474633,10.74634334,26.24041804,34.18241807,30.62629865,0,11.94731349,0,6.815895555,17.3646767,0,19.3402986,67.01517445,33.273632,70.55049785,8.2144279,23.8114429,36.47621908,4.094736338,25.30875634,85.93955265,85.93955265,76.16542325,0.238703527,0.252371039,0.139429313
4.788283605,5.797930376,3.790074645,12.22286076,5.064870671,19.18848765,7.305641826,10.48119408,26.66465684,23.64403494,29.23504492,0,11.82253737,0,5.892552267,17.55184088,0,21.9398011,67.71704013,32.7537315,65.8194033,8.318408,24.7472638,35.353234,4.184159224,25.66228868,85.5756223,85.5756223,93.84204025,0.217445186,0.077723803,0.136835279
4.89746271,8.877820938,3.509328375,14.42723888,1.941308467,17.93032844,5.537980126,10.30442791,28.12453745,22.72745036,28.01223894,0,12.22805976,0,5.577492564,17.82218914,0,21.7318409,65.8194033,32.7537315,69.19875655,8.318408,23.915423,32.19223896,3.968920417,25.84945286,85.41965215,85.41965215,103.9801,0.198760724,0.082581541,0.145265888
5.65651744,4.7830846,3.634104495,13.46542295,2.195019911,15.41504982,7.916005013,10.21084582,37.30805988,24.77689813,27.00779117,0,12.50880603,0,4.891223904,17.17751252,0.143492538,35.6651743,73.5139307,36.9129355,70.44651775,8.318408,24.1233832,32.15064692,4.399398031,40.7601992,109.4390553,109.4390553,96.44154275,0.183412774,0.116354384,0.151102464
4.164403005,6.239845801,5.069029875,13.29385579,6.838771177,18.25578616,8.955806013,12.56599509,44.15203006,22.82623145,26.97971655,0,11.97850752,3.96164181,5.253074652,16.96955232,0.430477614,50.6383087,80.53258745,110.218906,89.422886,7.7985075,25.8910449,49.32815944,11.27040304,128.95612,119.4731349,119.4731349,100.860697,0.182983794,0.049965302,0.140077821
3.14019902,6.551786101,5.67731346,12.56079608,22.12072647,28.18380611,8.149960238,30.13343298,38.94262705,36.19183351,35.2461345,13.28865678,13.63179111,7.595746305,16.02125381,17.86378118,7.579109489,47.9348261,106.2416672,135.9539808,91.65845815,8.2144279,28.5945275,97.49174176,49.93644302,153.93214,187.9440308,187.9440308,237.074628,0.309294566,0.004395096,0.174448768
